,netID,frequency,latitude,longitude,azimuth,quality,elevation,newdate,newtime
2022-07-18 13:39:07,60,9800000.0,46.5601,118.233,46.0,9,14.5,738354,187207
2022-07-18 13:39:39,64,14980000.0,46.5601,118.233,46.0,9,14.5,738354,187239
2022-07-18 13:39:39,64,14980000.0,46.5601,118.233,40.2,9,11.6,738354,187239
2022-07-18 11:31:08,24,6125000.0,24.5839,83.4197,77.9,6,49.5,738354,151208
2022-07-18 11:31:08,24,6125000.0,24.5839,83.4197,77.9,6,49.5,738354,151208
2022-07-18 11:31:08,24,6125000.0,24.5839,83.4197,77.9,6,49.5,738354,151208
2022-07-18 11:31:08,24,6125000.0,24.5839,83.4197,77.9,6,49.5,738354,151208
2022-07-18 11:31:08,24,6125000.0,24.5839,83.4197,77.9,6,49.5,738354,151208
2022-07-18 11:31:08,24,6125000.0,24.5839,83.4197,43.0,9,32.1,738354,151208
2022-07-18 11:31:08,24,6125000.0,33.0067,93.4431,41.8,5,13.5,738354,151208
2022-07-18 11:31:08,24,6125000.0,33.0067,93.4431,58.0,7,30.0,738354,151208
2022-07-18 11:31:08,24,6125000.0,35.6683,99.311,43.6,8,12.5,738354,151208
2022-07-18 11:31:08,24,6125000.0,35.6683,99.311,56.1,4,0.5,738354,151208
2022-07-18 11:31:08,24,6125000.0,32.5678,94.494,43.9,7,25.0,738354,151208
2022-07-18 11:31:08,24,6125000.0,32.5678,94.494,59.8,7,33.0,738354,151208
2022-07-18 11:31:08,24,6125000.0,25.629,84.1621,73.7,8,21.5,738354,151208
2022-07-18 11:31:08,24,6125000.0,25.629,84.1621,41.8,7,45.6,738354,151208
2022-07-18 11:31:08,24,6125000.0,37.1403,102.118,54.8,8,21.0,738354,151208
2022-07-18 11:31:08,24,6125000.0,37.1403,102.118,43.7,6,33.5,738354,151208
2022-07-18 13:39:15,62,11806250.0,21.7624,60.6228,266.7,8,25.0,738354,187215
2022-07-18 13:39:15,62,11806250.0,21.7624,60.6228,299.0,8,22.6,738354,187215
2022-07-18 13:39:15,62,11806250.0,21.7218,60.5238,266.5,9,25.0,738354,187215
2022-07-18 13:39:15,62,11806250.0,21.7218,60.5238,298.7,8,20.6,738354,187215
2022-07-18 13:39:15,62,11806250.0,21.7394,60.6764,299.0,8,22.6,738354,187215
2022-07-18 13:39:15,62,11806250.0,21.7394,60.6764,266.5,9,25.0,738354,187215
2022-07-18 14:24:27,94,5875000.0,31.9126,97.7326,63.1,6,25.5,738354,136827
2022-07-18 14:06:21,78,5925000.0,31.9126,97.7326,63.1,6,25.5,738354,72021
2022-07-18 14:06:21,78,5925000.0,31.9126,97.7326,48.6,5,0.0,738354,72021
2022-07-18 11:14:51,10,7275000.0,31.2953,89.7895,39.8,8,43.1,738354,90051
2022-07-19 09:48:55,158,9980000.0,31.2953,89.7895,39.8,8,43.1,738355,205255
2022-07-19 09:48:55,158,9980000.0,31.2953,89.7895,59.3,7,52.5,738355,205255
2022-07-18 14:28:34,98,9480000.0,23.3959,97.1792,82.7,8,13.0,738354,151234
2022-07-18 14:28:34,98,9480000.0,23.3959,97.1792,66.4,8,23.0,738354,151234
2022-07-18 14:28:34,98,9480000.0,23.5852,85.5549,82.8,8,21.5,738354,151234
2022-07-18 14:28:34,98,9480000.0,23.5852,85.5549,51.7,9,19.5,738354,151234
2022-07-18 14:28:21,96,4940000.0,27.8548,117.971,72.7,7,19.5,738354,151221
2022-07-18 14:28:21,96,4940000.0,27.8548,117.971,65.4,6,15.0,738354,151221
2022-07-18 11:15:58,12,9350000.0,19.0578,96.7164,93.0,8,15.5,738354,93658
2022-07-18 11:15:58,12,9350000.0,19.0578,96.7164,77.2,6,9.5,738354,93658
2022-07-18 13:34:04,56,4450000.0,38.1035,66.9495,351.0,8,32.0,738354,169204
2022-07-20 07:05:48,188,15480000.0,38.1035,66.9495,351.0,8,32.0,738356,43248
2022-07-18 14:36:40,100,7600000.0,38.1035,66.9495,351.0,8,32.0,738354,180040
2022-07-18 14:36:40,100,7600000.0,38.1035,66.9495,346.4,6,29.1,738354,180040
2022-07-18 14:51:49,102,8576250.0,57.1717,112.934,26.1,7,51.1,738354,234049
2022-07-18 14:52:01,104,9657500.0,57.1717,112.934,26.1,7,51.1,738354,237601
